Left-wing,Resistance,Right-wing,Russian,Ukrainian,Western,Zionist
care (6.4),islamic (6.1),trump (6.4),zakharova (8.8),ukraine (12.0),nato (12.7),israel (13.6)
health (6.2),iran (6.0),watch (4.9),telephone (7.8),defense (7.2),defence (8.4),regime (9.9)
billionaires (6.0),nation (5.7),show (4.7),putin (7.3),brigade (6.8),europe (5.0),idf (9.2)
tax (5.0),us-israeli (4.8),charlie (3.6),vladimir (7.2),russian (6.0),security (4.5),hezbollah (8.4)
working (5.0),occupied (4.6),democrats (3.3),conversation (6.7),ukrainian (5.8),exercise (4.5),iranian (7.8)
party (4.8),imam (4.5),fox (3.3),russia (6.4),drones (5.7),allied (4.5),terror (6.2)
labour (4.7),khamenei (4.4),president (3.3),president (5.6),enemy (5.5),arctic (4.4),terrorists (6.2)
trump (4.6),god (4.2),fbi (3.1),meeting (5.4),losses (5.5),alliance (4.4),israeli (6.1)
wealth (4.5),zionist (4.2),dhs (3.1),sergey (5.2),combat (5.4),mark (4.3),terrorist (6.0)
million (4.4),iran's (4.0),kirk (3.1),talks (5.1),russia (5.0),allies (4.2),eliminated (5.6)
class (4.4),eid (3.9),michigan (3.1),lavrov (5.0),ukrainians (5.0),wearenato (4.0),hamas (5.4)
oligarchs (4.4),israeli (3.9),ice (3.0),russia's (4.8),february (4.6),north (3.8),struck (5.4)
americans (4.3),bases (3.8),newsom (2.9),nebenzia (4.7),grateful (4.6),deterrence (3.8),troops (5.2)
billionaire (4.1),revolution (3.8),york (2.8),march (4.7),mechanized (4.3),ready (3.7),missile (5.1)
workers (3.9),martyred (3.8),vance (2.7),kiev (4.6),support (4.3),rutte (3.6),area (4.9)
