text_id,narrative_name,text,predicted_value,matched_text,value_evidence,gold_value,correct_incorrect_uncertain,annotator_notes
calibration_0001,Left-wing,"unions are the backbone of the middle class, we need to make it easier to organize, not harder.",(none detected),,,,,
calibration_0002,Left-wing,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",(none detected),,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",יציבות וסדר,stability,"an at least a brief moment of stability. Instead, very little has cha",,,
calibration_0004,Left-wing,"the climate crisis is literally happening right now and politicians are still taking money from fossil fuel lobbyists, ugh.",(none detected),,,,,
calibration_0005,Left-wing,LA Gave More Money to Cops While Cutting Fire Budgets. Now It’s Burning.  https://theintercept.com/2025/01/08/la-police-budget-palisades-fires/,(none detected),,,,,
calibration_0006,Left-wing,"Seriously, gentrification is pushing out long-standing communities. We need policies that protect them.",ביטחון והישרדות,protect,nities. We need policies that protect them.,,,
calibration_0007,Left-wing,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.  No injuries were reported and the fires have since been contained. The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,(none detected),,,,,
calibration_0008,Left-wing,It's time to abolish the filibuster and actually pass some progressive legislation for once instead of letting everything stall.,(none detected),,,,,
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,(none detected),,,,,
calibration_0010,Resistance,"The Americans should know if they start a war, this time it will be a regional war.",(none detected),,,,,
calibration_0011,Resistance,Breaking | Direct Iranian impact in southern occupied Palestine,(none detected),,,,,
calibration_0012,Resistance,"Wallah, I just want to see the sea once without having to go through three different checkpoints.",(none detected),,,,,
calibration_0013,Resistance,"decisive and severe dealing with people who cooperate with the enemy  🔹First Deputy of the Judiciary: The judicial system will deal hard with people who are infiltrators, mercenaries and traitors and who cooperate and accompany the enemy under these conditions, and these people will not be included in any friendship. @TasnimNews",(none detected),,,,,
