narrative_name,text,system_actors_roles,system_relations,system_values_hits,manual_actors,manual_roles,manual_threat,manual_responsibility,manual_causal_relations,manual_values,manual_preferred_action,annotator_notes
Left-wing,"unions are the backbone of the middle class, we need to make it easier to organize, not harder.",,"we --proposes_action--> need to make it easier to organize , not harder . (0.35)",,,,,,,,,
Left-wing,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",Israel=neutral(0.0); Gaza=neutral(0.0),,,,,,,,,,
Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Gaza=neutral(0.0); Palestinians=neutral(0.0); Hassanherzallah=neutral(0.0); Middleeasteye=neutral(0.0),ceasefire --causes--> I (0.5),יציבות וסדר,,,,,,,,
Left-wing,"the climate crisis is literally happening right now and politicians are still taking money from fossil fuel lobbyists, ugh.",,,,,,,,,,,
Left-wing,LA Gave More Money to Cops While Cutting Fire Budgets. Now It’s Burning.  https://theintercept.com/2025/01/08/la-police-budget-palisades-fires/,LA=neutral(0.0),,,,,,,,,,
Left-wing,"Seriously, gentrification is pushing out long-standing communities. We need policies that protect them.",,gentrification --proposes_action--> pushing out long - standing communities . (0.35); that --protects--> them (0.45); We --proposes_action--> need policies that protect them . (0.35),ביטחון והישרדות,,,,,,,,
Left-wing,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.  No injuries were reported and the fires have since been contained. The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,Jewish=neutral(0.0); United Kingdom=neutral(0.0); Metropolitanpolice=neutral(0.0),,,,,,,,,,
Left-wing,It's time to abolish the filibuster and actually pass some progressive legislation for once instead of letting everything stall.,,,,,,,,,,,
Left-wing,"“Strange beings,” locals said, visiting an isolated Indigenous community in rural Peru at night, harassing its inhabitants and attempting to kidnap a 15-year-old girl. https://t.co/tB2XO1zU9d",Indigenous=neutral(0.0); Peru=neutral(0.0),,סולידריות ואחריות קולקטיבית,,,,,,,,
Left-wing,"""As the weapons industry celebrates and polls show renewed public optimism, Israel's aggression across the region reveals an addiction to violence that no military victory can cure""  ✍️ Opinion by Antony Loewenstein  🔗 https://www.middleeasteye.net/opinion/why-soaring-israeli-morale-over-war-iran-exposes-deeper-delusion?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Israel=hero(0.15); Antonyloewenstein=hero(0.15); Middleteye=neutral(0.0),industry --causes--> aggression (0.5),,,,,,,,,
Left-wing,"Mutual aid is how we take care of each other when the state fails us, and it's honestly a beautiful example of community power.",,,סולידריות ואחריות קולקטיבית,,,,,,,,
Left-wing,"solidarity with the baristas and warehouse workers trying to unionize right now, you guys are heroes.",,,סולידריות ואחריות קולקטיבית,,,,,,,,
