Left-wing,Resistance,Right-wing,Russian,Ukrainian,Western,Zionist
care (6.4),islamic (6.3),trump (6.3),zakharova (8.8),ukraine (12.0),nato (12.6),israel (13.8)
health (6.2),iran (6.1),watch (5.0),telephone (7.7),defense (7.1),defence (8.4),regime (9.8)
billionaires (6.0),nation (5.6),show (4.7),putin (7.2),brigade (6.8),europe (5.0),idf (9.3)
tax (5.0),us-israeli (4.7),charlie (3.6),vladimir (7.2),russian (5.9),security (4.5),hezbollah (8.5)
working (5.0),khamenei (4.6),fox (3.3),conversation (6.7),ukrainian (5.8),exercise (4.4),iranian (7.8)
party (4.9),occupied (4.6),president (3.3),russia (6.6),drones (5.7),allied (4.4),terrorists (6.2)
labour (4.7),imam (4.4),democrats (3.3),president (5.5),losses (5.6),mark (4.4),terror (6.2)
trump (4.6),iran's (4.2),fbi (3.2),meeting (5.2),enemy (5.5),alliance (4.4),israeli (6.2)
wealth (4.5),zionist (4.2),dhs (3.2),sergey (5.2),combat (5.4),arctic (4.3),terrorist (6.0)
million (4.4),god (4.1),kirk (3.1),talks (5.0),ukrainians (5.0),allies (4.3),eliminated (5.6)
class (4.4),revolution (4.1),michigan (3.1),lavrov (5.0),russia (4.8),wearenato (4.0),hamas (5.5)
oligarchs (4.4),israeli (3.9),ice (3.0),kiev (4.9),february (4.7),north (3.9),struck (5.3)
americans (4.2),eid (3.9),newsom (2.9),russia's (4.8),grateful (4.6),deterrence (3.7),troops (5.2)
billionaire (4.2),bases (3.8),york (2.8),nebenzia (4.8),mechanized (4.3),rutte (3.6),missile (4.9)
workers (4.0),martyred (3.8),vance (2.7),march (4.6),support (4.3),ready (3.6),area (4.9)
