text_id,narrative_name,text,predicted_entity,predicted_entity_type,was_reconstructed,n_fragments_merged,predicted_role,role_confidence,role_evidence,role_method,candidate_role,predicted_agency,gold_entity,gold_role,gold_agency,correct_incorrect_uncertain,annotator_notes
calibration_0001,Left-wing,"unions are the backbone of the middle class, we need to make it easier to organize, not harder.",we,IN_GROUP,False,1,unknown,0.0,"unions are the backbone of the middle class, we need to make it easier to organize, not harder.",no_signal,unknown,active,,,,,
calibration_0002,Left-wing,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",Israel,LOC,False,1,unknown,0.0,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",no_signal,unknown,passive,,,,,
calibration_0002,Left-wing,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",Gaza,LOC,False,1,unknown,0.0,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics",no_signal,unknown,unknown,,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Gaza,LOC,False,1,unknown,0.0,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means.",no_signal,unknown,unknown,,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Palestinians,MISC,False,1,unknown,0.0,"For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability.",no_signal,unknown,passive,,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Hassanherzallah,PER,False,1,unknown,0.0,Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic,no_signal,unknown,passive,,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic",Middleeasteye,ORG,False,1,unknown,0.0,Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic,no_signal,unknown,unknown,,,,,
calibration_0004,Left-wing,"the climate crisis is literally happening right now and politicians are still taking money from fossil fuel lobbyists, ugh.",(none detected),,,,,,,,,,,,,,
calibration_0005,Left-wing,LA Gave More Money to Cops While Cutting Fire Budgets. Now It’s Burning.  https://theintercept.com/2025/01/08/la-police-budget-palisades-fires/,LA,ORG,False,1,unknown,0.0,LA Gave More Money to Cops While Cutting Fire Budgets.,no_signal,unknown,active,,,,,
calibration_0006,Left-wing,"Seriously, gentrification is pushing out long-standing communities. We need policies that protect them.",we,IN_GROUP,False,1,unknown,0.0,We need policies that protect them.,no_signal,unknown,active,,,,,
calibration_0007,Left-wing,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.  No injuries were reported and the fires have since been contained. The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,Jewish,MISC,False,1,unknown,0.0,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.,no_signal,unknown,unknown,,,,,
calibration_0007,Left-wing,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.  No injuries were reported and the fires have since been contained. The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,United Kingdom,LOC,False,1,unknown,0.0,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.,no_signal,unknown,passive,,,,,
calibration_0007,Left-wing,Four ambulances run by a Jewish volunteer organisation were set on fire in the early hours of Monday morning in London.  No injuries were reported and the fires have since been contained. The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,Metropolitanpolice,ORG,False,1,unknown,0.0,The Metropolitan Police force is treating the arson as a suspected antisemitic hate crime,no_signal,unknown,unknown,,,,,
calibration_0008,Left-wing,It's time to abolish the filibuster and actually pass some progressive legislation for once instead of letting everything stall.,(none detected),,,,,,,,,,,,,,
