text,label,narrative_name
"I grew up hearing stories about building a homeland from nothing and it still shapes how I see things.",0,Zionist
"For many people here it's not politics it's just about having a safe place to exist.",0,Zionist
"It’s hard to explain but there’s something deeply personal about the idea of returning to ancestral land.",0,Zionist
"People forget how vulnerable Jews were historically and why self-determination matters.",0,Zionist
"I don’t agree with every policy but the core idea still feels justified to me.",0,Zionist
"There’s a sense of continuity between past suffering and present independence.",0,Zionist
"When rockets fall you understand why security is prioritized so heavily.",0,Zionist
"To me it’s not abstract—it’s about family living there right now.",0,Zionist
"You can criticize the government without rejecting the entire idea of the country.",0,Zionist
"History didn’t exactly leave Jews with many safe options.",0,Zionist
"When people are occupied for decades resistance becomes inevitable.",1,Resistance
"You can’t expect people to stay silent when they feel oppressed every day.",1,Resistance
"For them it’s not ideology it’s survival and dignity.",1,Resistance
"Violence is tragic but many see it as the only language left.",1,Resistance
"There’s a long history behind why people fight back.",1,Resistance
"If you take away hope resistance fills the vacuum.",1,Resistance
"Some call it terrorism others call it liberation.",1,Resistance
"It’s easy to judge from afar but living under control changes perspective.",1,Resistance
"The imbalance of power is what drives this conflict forward.",1,Resistance
"People don’t just wake up and choose resistance without reason.",1,Resistance
"I tend to trust democratic systems even if they’re flawed.",2,Western
"Freedom of speech is messy but still essential.",2,Western
"There’s a strong belief here that institutions matter.",2,Western
"Individual rights are often placed above collective identity.",2,Western
"We’re taught to question authority but also rely on it.",2,Western
"It’s not perfect but liberal democracy still feels like the best option.",2,Western
"Media bias exists but pluralism helps balance it out.",2,Western
"There’s a focus on personal responsibility in most discussions.",2,Western
"People assume progress is linear which isn’t always true.",2,Western
"There’s confidence in systems that others don’t necessarily share.",2,Western
"The West doesn’t understand Russia’s security concerns.",3,Russian
"There’s a constant feeling of being surrounded and threatened.",3,Russian
"State strength is seen as necessary not oppressive.",3,Russian
"People value stability over sudden political change.",3,Russian
"History taught us that weakness invites invasion.",3,Russian
"Western narratives often ignore our perspective entirely.",3,Russian
"There’s pride in resilience through hardship.",3,Russian
"Sanctions are seen as political tools not moral actions.",3,Russian
"Many believe the country is unfairly targeted.",3,Russian
"Trust in centralized power is more common than outsiders think.",3,Russian
"We just want to live without someone else deciding our future.",4,Ukrainian
"This war isn’t abstract it’s happening in our cities.",4,Ukrainian
"There’s a strong sense of identity that’s grown in recent years.",4,Ukrainian
"People here are tired but determined.",4,Ukrainian
"Independence isn’t negotiable for most of us.",4,Ukrainian
"The cost is huge but giving up feels worse.",4,Ukrainian
"You see flags everywhere now it means something deeper.",4,Ukrainian
"It’s about survival not politics at this point.",4,Ukrainian
"Communities have become incredibly resilient.",4,Ukrainian
"We didn’t choose this but we’re dealing with it.",4,Ukrainian
"I think tradition exists for a reason and shouldn’t be dismissed so quickly.",5,Right-wing
"Not every change is progress even if it’s presented that way.",5,Right-wing
"There’s value in strong borders and national identity.",5,Right-wing
"People worry that culture is being eroded too fast.",5,Right-wing
"Security should come before idealism in many cases.",5,Right-wing
"I’m skeptical of large government interventions.",5,Right-wing
"Some policies feel disconnected from everyday reality.",5,Right-wing
"There’s a preference for order over rapid change.",5,Right-wing
"Community values matter more than global trends to some.",5,Right-wing
"It’s not about hate it’s about preserving something.",5,Right-wing
"I believe equality should be actively pursued not just talked about.",6,Left-wing
"Systemic issues don’t fix themselves without pressure.",6,Left-wing
"There’s too much inequality to ignore.",6,Left-wing
"We should prioritize social safety nets more.",6,Left-wing
"Power structures often go unquestioned when they shouldn’t.",6,Left-wing
"There’s a focus on inclusion and representation.",6,Left-wing
"Some traditions need to be challenged not preserved.",6,Left-wing
"The system works better for some than others.",6,Left-wing
"Empathy should guide policy decisions more often.",6,Left-wing
"Change is uncomfortable but necessary.",6,Left-wing
"I don't know, it just feels obvious to me why a Jewish state matters after everything.",0,Zionist
"My grandparents talked about it like a miracle, not just politics.",0,Zionist
"You grow up with this idea that there's finally somewhere that's yours.",0,Zionist
"I'm not blind to problems there, but I still get why it exists.",0,Zionist
"Honestly, after history, expecting Jews to rely on others seems naive.",0,Zionist
"It's complicated, but the need for safety isn't theoretical.",0,Zionist
"Sometimes people argue policy and miss the bigger picture entirely.",0,Zionist
"I've visited once and it didn't feel abstract anymore.",0,Zionist
"It's less about ideology and more about not being helpless again.",0,Zionist
"You can hear it in how people talk—it's personal, not just political.",0,Zionist
"I feel like outsiders simplify it way too much.",0,Zionist
"There’s criticism, sure, but also a lot of misunderstanding.",0,Zionist
"For some, it's literally about survival, not just identity.",0,Zionist
"At some point people just stop accepting the situation quietly.",1,Resistance
"If you're pushed long enough, something gives.",1,Resistance
"I don't think anyone chooses this kind of life willingly.",1,Resistance
"From the inside it probably feels very different than how we see it.",1,Resistance
"People react to pressure, that's just reality.",1,Resistance
"It's not as simple as labeling it good or bad.",1,Resistance
"When options shrink, resistance grows, I guess.",1,Resistance
"Some see it as the only way left to be heard.",1,Resistance
"You can disagree with methods and still understand the cause.",1,Resistance
"I keep thinking what I would do in that situation.",1,Resistance
"It’s messy and tragic, not black and white.",1,Resistance
"There’s anger, but also desperation there.",1,Resistance
"I still think democratic values matter, even if they’re imperfect.",2,Western
"Free speech gets abused sometimes, but I wouldn't give it up.",2,Western
"We rely a lot on systems, maybe more than we realize.",2,Western
"There's this assumption that institutions will hold.",2,Western
"I guess I take certain freedoms for granted.",2,Western
"People argue a lot, but that's kind of the point.",2,Western
"It's chaotic, but also stable in a weird way.",2,Western
"I don't fully trust the system, but I still prefer it.",2,Western
"There's room to disagree openly, which matters.",2,Western
"Sometimes it feels like too much individualism though.",2,Western
"We believe in progress, maybe a bit blindly.",2,Western
"I've noticed people expect transparency all the time.",2,Western
"Even criticism of the system happens inside the system.",2,Western
"From here it looks like the West keeps interfering.",3,Russian
"There’s always this sense of pressure from outside.",3,Russian
"People want stability more than experiments.",3,Russian
"Strong leadership feels necessary, not optional.",3,Russian
