text,label,narrative_name
"Israel is the only place where Jews can truly be safe, you know?",0,Zionist
"The Jewish people have a deep, historical tie to this land, going back thousands of years.",0,Zionist
"I mean, every nation has the right to self-determination, so why not the Jews?",0,Zionist
"It's about having a home, a place where we aren't a minority for once.",0,Zionist
"You have to understand, after the Holocaust, the world saw why a Jewish state is a necessity.",0,Zionist
Zionism is basically just the national liberation movement of the Jewish people.,0,Zionist
"Israel is the only democracy in the Middle East, which is something people often overlook.",0,Zionist
"We’ve turned the desert green, literally, with all the innovation and hard work.",0,Zionist
"It's not just about politics; it's about our culture, our language, and our faith.",0,Zionist
Archeology proves our presence here long before modern borders were drawn.,0,Zionist
"Honestly, the way people talk about Israel sometimes feels like they're ignoring history.",0,Zionist
"Tel Aviv is such a vibrant, modern city, but Jerusalem is the heart of it all.",0,Zionist
My grandparents came here with nothing and built a life out of the sand.,0,Zionist
"Security is a huge deal because, well, look at the neighborhood we're in.",0,Zionist
"We just want to live in peace, but it's hard when your right to exist is constantly questioned.",0,Zionist
"Hebrew being revived as a spoken language is like a miracle, don't you think?",0,Zionist
"The IDF is more than just an army; it's the people's army, everyone serves.",0,Zionist
"You see the diversity in Israel—Jews from Ethiopia, Russia, Morocco—all back home.",0,Zionist
"It’s about indigenous rights, really, returning to the land of our ancestors.",0,Zionist
People forget that most Israelis just want to go to work and raise their kids in safety.,0,Zionist
There’s this incredible sense of community here that you don’t find anywhere else.,0,Zionist
"Every time I land at Ben Gurion, I just feel this... I don't know, a sense of belonging.",0,Zionist
Why is it that the one Jewish state is held to such a different standard than everyone else?,0,Zionist
"Zionism is a beautiful thing, it's about hope and resilience against all odds.",0,Zionist
"We’ve offered peace so many times, but it takes two to tango, right?",0,Zionist
It’s crazy how much tech and medicine comes out of such a tiny country.,0,Zionist
"For many, it's a religious fulfillment, the return to Zion as promised in the Torah.",0,Zionist
"Even if you aren't religious, the cultural connection to the land is undeniable.",0,Zionist
I think people misunderstand what Zionism actually means; it's not about excluding others.,0,Zionist
Israel is a refuge for LGBTQ+ people in a region where that’s often not the case.,0,Zionist
You can’t just ignore three thousand years of history because it's politically inconvenient.,0,Zionist
Look at how many Jews were kicked out of Arab countries and found a home in Israel.,0,Zionist
"It’s our right to defend ourselves, like any other sovereign nation would.",0,Zionist
