text_id,narrative_name,text,system_actors_roles,system_relations,system_values,system_agendas,manual_actors_roles_feedback,manual_relations_feedback,manual_values_feedback,manual_agendas_feedback,annotator_notes
calibration_0001,Left-wing,"unions are the backbone of the middle class, we need to make it easier to organize, not harder.","we = unknown (conf 0.0, agency active) [candidate: unknown]","we --proposes_action--> need to make it easier to organize , not harder . (conf 0.55)",(none detected),זכויות אדם וצדק חברתי: 'unions',,,,,
calibration_0002,Left-wing,"Pray for simple people from Israel and Gaza 🙏 Life is more matters, instead of politics","Israel = unknown (conf 0.0, agency passive) [candidate: unknown]
Gaza = unknown (conf 0.0, agency unknown) [candidate: unknown]",(none detected),(none detected),"דת, מסורת וזהות: 'Pray'",,,,,
calibration_0003,Left-wing,"🗞Since the Gaza 'ceasefire' was announced, I have wondered what this word actually means. For Palestinians in the enclave, it was supposed to mean at least a brief moment of stability. Instead, very little has changed.  ✍ Opinion by Hassan Herzallah 🔗  https://www.middleeasteye.net/opinion/there-no-ceasefire-gaza?utm_source=telegram&utm_medium=social&utm_campaign=social_traffic","Gaza = unknown (conf 0.0, agency unknown) [candidate: unknown]
Palestinians = unknown (conf 0.0, agency passive) [candidate: unknown]
Hassanherzallah = unknown (conf 0.0, agency passive) [candidate: unknown]
Middleeasteye = unknown (conf 0.0, agency unknown) [candidate: unknown]",(none detected),יציבות וסדר: 'stability',דיפלומטיה ויחסים בינלאומיים: 'ceasefire',,,,,
calibration_0004,Left-wing,"the climate crisis is literally happening right now and politicians are still taking money from fossil fuel lobbyists, ugh.",(none detected),(none detected),(none detected),"אקלים, אנרגיה ירוקה וסביבה: 'climate'",,,,,
calibration_0005,Left-wing,LA Gave More Money to Cops While Cutting Fire Budgets. Now It’s Burning.  https://theintercept.com/2025/01/08/la-police-budget-palisades-fires/,"LA = unknown (conf 0.0, agency active) [candidate: unknown]",(none detected),(none detected),(none detected),,,,,
calibration_0009,Resistance,Israeli opposition leader Yair Lapid discusses potential Gaza ceasefire deal at the Knesset @aljazeeraenglish,"Israel = unknown (conf 0.0, agency unknown) [candidate: unknown]
Yair Lapid = unknown (conf 0.0, agency active) [candidate: unknown]
Gaza = unknown (conf 0.0, agency unknown) [candidate: unknown]
Knesset = unknown (conf 0.0, agency passive) [candidate: unknown]",(none detected),(none detected),"דיפלומטיה ויחסים בינלאומיים: 'ceasefire'
דמוקרטיה, בחירות ומשילות: 'opposition'",,,,,
calibration_0010,Resistance,"The Americans should know if they start a war, this time it will be a regional war.","United States = unknown (conf 0.0, agency active) [candidate: unknown]","United States --proposes_action--> know if they start a war , this time it will be a regional war . (conf 0.55)",(none detected),עימות ולוחמה - כללי: 'war',,,,,
calibration_0011,Resistance,Breaking | Direct Iranian impact in southern occupied Palestine,"Iran = unknown (conf 0.0, agency unknown) [candidate: unknown]
Palestine = unknown (conf 0.0, agency passive) [candidate: unknown]",(none detected),(none detected),(none detected),,,,,
calibration_0012,Resistance,"Wallah, I just want to see the sea once without having to go through three different checkpoints.","Wallah = unknown (conf 0.0, agency unknown) [candidate: unknown]",(none detected),(none detected),(none detected),,,,,
calibration_0013,Resistance,"decisive and severe dealing with people who cooperate with the enemy  🔹First Deputy of the Judiciary: The judicial system will deal hard with people who are infiltrators, mercenaries and traitors and who cooperate and accompany the enemy under these conditions, and these people will not be included in any friendship. @TasnimNews","Judiciary = unknown (conf 0.0, agency passive) [candidate: unknown]
Tanin = unknown (conf 0.0, agency unknown) [candidate: unknown]",(none detected),(none detected),(none detected),,,,,
calibration_0017,Right-wing,Nearly 10% of Transportation Security Administration workers reportedly called in sick on Tuesday as the Democrats' partial government shutdown continued. MORE: https://bit.ly/4uEYK81,"Transportationsecurityadministration = unknown (conf 0.0, agency unknown) [candidate: unknown]
Democrats = unknown (conf 0.0, agency unknown) [candidate: unknown]",(none detected),ביטחון והישרדות: 'Security',"דמוקרטיה, בחירות ומשילות: 'Democrats'
זכויות אדם וצדק חברתי: 'workers'",,,,,
