text,label,narrative_name,account,date
"During the massacre in Kibbutz Re'im, security cameras at other entrances spotted Hamas terrorists taking several Thai agricultural exchange students, some of them wounded, as hostages back to Gaza.    They were released after 50 days in brutal Hamas captivity, after the Thai government intervened on their behalf.  You can read more about their story of survival here. https://www.scmp.com/news/asia/southeast-asia/article/3244271/thai-man-recalls-50-days-captivity-hamas-who-shot-friend-front-him-i-thought-id-die",0,Zionist,southfirstresponders,2023-12-28T16:06:51+00:00
"The terrorists invade the kibbutz, an entirely civilian community, with the intent to murder, pillage, and take hostages. The community guard in Re'im would eventually redeploy in different locations to fight the terrorists for several hours, and protect as many families as they could.   Note that the intersection at the top of the frame is the location of at least two other massacres where scores of young Israeli partygoers were butchered in roadside bomb-shelters after fleeing the nearby Nova Music Festival. You can read more about each massacre at Oct7map.com.",0,Zionist,southfirstresponders,2023-12-28T16:00:32+00:00
"In this first clip we can see the guard in his black truck at the entrance to the kibbutz. As the terrorists approach, the driver backs up his vehicle in their direction and opens his door to engage them, despite being dramatically outnumbered, and a firefight ensues.",0,Zionist,southfirstresponders,2023-12-28T15:48:15+00:00
"A lone Israeli guard faces off with 40 invading Hamas terrorists on October 7th:   What you are about to see *once again* demonstrates that on the morning of October 7th, there was peace in the region.  Until Hamas invaded.   This new footage will show how Hamas terrorists attacked Kibbutz Re'im with Toyota trucks laden with terrorists brandishing RPGs and other heavy weapons as part of their assault against dozens of civilian targets.   Standing in their way initially was a single Israeli neighborhood guard who was faced with an unimaginable wave of invading terrorists.",0,Zionist,southfirstresponders,2023-12-28T15:22:06+00:00
"This is the same woman whose body is captured by the rear camera of an Israeli ambulance later that day— which was posted several days ago (01:48).  If there is footage which embodies the cowardice of the Hamas terrorists on October 7th and the incredible bravery of individual Israelis on that day, this is it.",0,Zionist,southfirstresponders,2023-12-22T09:13:07+00:00
"This clip shows her murder from both CCTV cameras, while the dashcam from the white vehicle seen in the CCTV frame (also fired on by Hamas), shows her falling to the side of the road as she is shot in cold blood trying to escape.",0,Zionist,southfirstresponders,2023-12-22T09:11:19+00:00
"In this footage, taken from the gate of Kibbutz Mefalsim (near Sderot) on the morning of October 7th, we can see the woman being led away to a Hamas Toyota by Hamas terrorists on the main road.   She eventually breaks free from her Hamas captors and begins to run for her life, and is shot in the back.",0,Zionist,southfirstresponders,2023-12-22T09:08:59+00:00
"Unseen Footage: Heroic Israeli woman escapes Hamas captors and is shot in the back on October 7th.  In the following videos we witness - from the angles of two kibbutz CCTV and a vehicle dashcam  - the incredible moment when a brave Israeli woman escapes the clutches of her Hamas captors, only to be summarily executed by them in cold blood by the side of the road.",0,Zionist,southfirstresponders,2023-12-22T08:51:05+00:00
"The carnage continues.   This next clip shows dozens of burned vehicles and bodies of Israeli civilians   strewn across another stretch of road between the Black Arrow junction and Kibbutz Mefalsim. At some places you can still see the motorcycles used by Hamas to assault the civilians.   Dozens murdered, in just 1.5 kilometers of road. This is just one tiny glimpse into the apocalyptic scenes of the October 7th massacres.   More Hamas massacres will be exposed.",0,Zionist,southfirstresponders,2023-12-10T14:24:56+00:00
"A Trail of Mass-Murder.  As our evidence has shown throughout, Hamas systematically attacked Israeli civilians in their vehicles across the highways of southern Israel. Often times they would confirm their kills after dragging the wounded out of their cars.  They then proceeded to loot the vehicles and/or set them on fire.   What you are about to see was taken from the rear camera of an Israeli ambulance which arrived in southern Israel on October 7th to look for those injured in Hamas' terrorist attack.   This first clip shows what the medical teams saw in just a 500 meter stretch of highway, between Kibbutz Gevim and Moshav Yahini, near Sderot on October 7th.",0,Zionist,southfirstresponders,2023-12-10T14:05:18+00:00
"On October 6th, there was quiet in Gaza and Israel.   On October 7th, Hamas launched an unprovoked, unprecedented terror attack with thousands of bloodthirsty jihadi fighters armed with machine guns, rockets, IEDs, drones, fuel cans, and other weapons, targeting dozens of Israeli civilian communities.   Soon we will publish never-before-seen ambulance footage showing Hamas' trail of death on that day.",0,Zionist,southfirstresponders,2023-12-10T12:28:19+00:00
"Mia Leimberg emerged nearly two months later from captivity, clutching Bella in her arms.   To those around the world who defend Hamas: These terrorists who kidnap young girls and their dogs... Are these your heroes?",0,Zionist,southfirstresponders,2023-12-06T18:38:23+00:00
"And here is Hamas at its most honorable.   In this footage we can see one of the Hamas terrorists making off with two female hostages in the back of their pick-up truck, who are Mia Leimberg, a young teenage girl, and her mother. Also seen between them is Mia's Shih Tzu dog, Bella.",0,Zionist,southfirstresponders,2023-12-06T18:30:42+00:00
"In the case of this terrorist, he *tried* to steal bicycles, only to fall flat on his face.",0,Zionist,southfirstresponders,2023-12-06T18:21:11+00:00
"The Hamas terrorists, like the heroes they are, begin to loot and steal everything in their sights. Including an electric wheelchair use by elderly residents, bicycles, and cars belonging to the Kibbutz residents. Public reports say that Hamas also used the residents own vehicles to kidnap them.",0,Zionist,southfirstresponders,2023-12-06T18:19:52+00:00
"Like many other civilian communities in southern Israel, Hamas attacked Kibbutz Nir Yitzhak with overwhelming force on the morning of October 7th. The Kibbutz rapid response force tried to fight off the terrorists, but eventually the Kibbutz fell. For hours terrorists went house to house burning, killing, looting, and kidnapping its residents.   The coming footage was taken from the Kibbutz security cameras.   In the first clip we can see the moment that (one of several waves of) Hamas terrorists enters the Kibbutz.",0,Zionist,southfirstresponders,2023-12-06T18:15:35+00:00
How heroic was Hamas on October 7th?   In the coming posts we will expose some of their greatest acts of heroism.,0,Zionist,southfirstresponders,2023-12-06T15:31:53+00:00
